date,irt3m_eacc_t,irt6m_eacc_t,ltirt_eacc_t,ppicag_ea_t,ppicog_ea_t,ppindcog_ea_t,ppidcog_ea_t,ppiing_ea_t,ppinrg_ea_t,hicpov_ea_t,hicpnef_ea_t,hicpg_ea_t,hicpin_ea_t,hicpsv_ea_t,hicpng_ea_t,curr_eacc_t,m1_eacc_t,m2_eacc_t,oilpricex_t,hcpi_yoy_t,hcpi_yoy
2007-02-01,0.06630000000000003,0.05469999999999997,0.020000000000000462,-0.0358771885379916,0.07725745747384494,0.035066339295131144,0.272149593505322,0.0259230044997949,0.4840600541621498,0.15372691227755197,0.17951663568469556,0.09342164303935974,0.1495918359206705,0.23906845446006741,0.31243597175238946,0.6663130357733138,0.5974714318508489,0.5046335128096047,0.21058411873416372,-0.01024124485453659,1.8663950990250864
2007-03-01,0.07269999999999976,0.05190000000000028,-0.10000000000000053,-0.02160649665485792,0.10591544674269926,0.135062786154716,0.021697238528783913,0.4787588210321658,0.5973444071111444,0.21023537934121705,0.09173753217828207,0.27871492216311466,0.422871375115097,0.11331055857661809,0.6956630820758924,1.015375030408272,0.7511425770768909,1.2713529734051932,-0.06075019396350312,0.039210083481045155,1.9056051825061315
2007-04-01,0.08440000000000003,0.10110000000000019,0.21000000000000085,-0.07966346321026663,0.22692450499546268,0.2617714659025161,0.21556269205893486,0.4664115014149317,0.3605132452852544,0.43811044596457904,0.27312426405448065,0.45122491938283105,0.3912779632425867,0.4195435840914641,0.24763029938768,0.48124082921301436,-0.051684802882157044,0.36909274276304416,0.03307954734907703,0.0619562052447844,1.967561387750916
2007-05-01,0.09609999999999985,0.09919999999999973,0.1299999999999999,-0.04654840212552358,0.25397745122468507,0.27881827033668927,0.11405318106705309,0.2452368746454603,0.3844692692113405,0.20941062241490727,0.14743596885731236,0.24471676084836247,0.33046334587032433,0.15937301959896288,0.13511352218698036,0.557365988656322,0.760794744410731,0.9744440628960405,-0.06278405163984857,-0.05414767910341145,1.9134137086475045
2007-06-01,0.07640000000000047,0.08640000000000025,0.27999999999999936,-0.05494536124146521,0.14181011018212786,0.19240902027970463,0.19570246483615605,0.17170404066852996,-0.5025459823533751,0.14832358719338856,0.0741451143595917,0.1603831792365895,0.12657807385760833,0.1312069591963727,-0.09534230637129326,0.5281737642194528,0.5491579494464105,0.9991650981127975,0.06942590882971444,-0.01615264200209854,1.897261066645406
2007-07-01,0.06839999999999957,0.0754999999999999,-0.040000000000000036,0.024744396230413912,0.4533920098216626,0.3711954387373595,0.1577831969197696,-0.12352375404933724,-0.24210732493363807,0.20700415263830152,0.16096346901139924,0.2215249239611694,0.20913469551997466,0.1864014779256351,0.11080499222666518,0.7717223904256443,0.7051160421003289,1.0007014866889818,0.03324184286095999,-0.09164937228451908,1.8056116943608869
2007-08-01,0.3273999999999999,0.23529999999999962,-0.17999999999999972,0.07609703845421478,0.2971193054267296,0.3743413433229037,0.2035639878151585,0.03887311772281521,0.41329505260305766,0.08360449233979494,0.08102987824143426,0.046903430829559056,-0.22011105103896256,0.13565951284988387,-0.21821284854190992,0.6816120923394564,-0.2642035772193907,0.6009337268315207,-0.11908971814007341,-0.04502818707772249,1.7605835072831644
2007-09-01,0.19810000000000016,0.15749999999999975,-0.04999999999999982,-0.34259030984093997,0.3031769321783173,0.4110521087762997,0.19527217093973093,-0.07336765133523215,2.1961276636231375,0.22495258285939457,0.08584605157215819,0.2951871883907664,0.17799177354369533,0.12530685941518627,1.307621906460188,0.31677492292061515,0.5423009195361317,0.8645067470238743,0.12350948708927323,0.3634914221804175,2.124074929463582
2007-10-01,-0.05429999999999957,-0.08789999999999942,0.040000000000000036,-0.17787252473837611,0.5990347777308003,0.5299193246990797,0.11565933396529005,0.1926087881831684,2.3176093169785084,0.333039424023962,0.14419695736229698,0.4312558259404575,0.20469767910338277,0.19338501765497895,1.4537574782433005,0.852224971790605,-0.06712100869279425,1.4682333467554542,-0.02356415730115735,0.40227289074332706,2.526347820206909
2007-11-01,-0.04890000000000061,-0.03370000000000051,-0.16000000000000014,-0.1264949748811972,0.22288216171881814,0.3138657190316252,0.15581820576944239,0.35345710650345197,5.420887941877606,0.6060489401293445,0.20103288921502482,0.8504879916746866,0.9654167003114722,0.2570807369862038,4.284703793422384,0.5540475694955305,0.6570499290841525,0.7607127177285733,0.017679766501633942,0.5095178939862555,3.0358657141931644
