date,cpi_total_yoy_L0,cpi_goods_cat_goods_ind_L0,cpi_goods_cat_services_ind_L0,cpi_housing_energy_ind_L0,cpi_food_nonalcoholic_beverages_ind_L0,cpi_transport_ind_L0,cpi_health_ind_L0,cpi_clothing_footwear_ind_L0,cpi_alcoholic_beverages_tobacco_ind_L0,cpi_household_furniture_furnishings_routine_maintenance_ind_L0,cpi_restaurants_hotels_ind_L0,cpi_recreation_culture_ind_L0,cpi_communications_ind_L0,cpi_education_ind_L0,mon_stat_mon_agg_m0_total_chf_L0,ppi_total_base_month_december_2020_ind_L0,ipi_total_base_month_december_2020_ind_L0,oilpricex_L0,cpi_total_yoy_L1,cpi_goods_cat_goods_ind_L1,cpi_goods_cat_services_ind_L1,cpi_housing_energy_ind_L1,cpi_food_nonalcoholic_beverages_ind_L1,cpi_transport_ind_L1,cpi_health_ind_L1,cpi_clothing_footwear_ind_L1,cpi_alcoholic_beverages_tobacco_ind_L1,cpi_household_furniture_furnishings_routine_maintenance_ind_L1,cpi_restaurants_hotels_ind_L1,cpi_recreation_culture_ind_L1,cpi_communications_ind_L1,cpi_education_ind_L1,mon_stat_mon_agg_m0_total_chf_L1,ppi_total_base_month_december_2020_ind_L1,ipi_total_base_month_december_2020_ind_L1,oilpricex_L1,cpi_total_yoy_L2,cpi_total_yoy_L3,cpi_total_yoy_L4,cpi_total_yoy_L5,cpi_total_yoy_L6,cpi_total_yoy_L7,cpi_total_yoy_L8,cpi_total_yoy_L9,cpi_total_yoy_L10,cpi_total_yoy_L11,cpi_total_yoy_D1,cpi_goods_cat_goods_ind_D1,cpi_goods_cat_services_ind_D1,cpi_housing_energy_ind_D1,cpi_food_nonalcoholic_beverages_ind_D1,cpi_transport_ind_D1,cpi_health_ind_D1,cpi_clothing_footwear_ind_D1,cpi_alcoholic_beverages_tobacco_ind_D1,cpi_household_furniture_furnishings_routine_maintenance_ind_D1,cpi_restaurants_hotels_ind_D1,cpi_recreation_culture_ind_D1,cpi_communications_ind_D1,cpi_education_ind_D1,mon_stat_mon_agg_m0_total_chf_D1,ppi_total_base_month_december_2020_ind_D1,ipi_total_base_month_december_2020_ind_D1,oilpricex_D1,cpi_total_yoy_D2,cpi_total_yoy_D3,cpi_total_yoy_D4,cpi_total_yoy_D5,cpi_total_yoy_D6,cpi_total_yoy_D7,cpi_total_yoy_D8,cpi_total_yoy_D9,cpi_total_yoy_D10,cpi_total_yoy_D11,target_h1,target_h2,target_h3,target_h6,target_h12
1996-12-31,0.7813931587007605,101.1339,84.1017,75.4344,91.1403,93.6141,100.8156,99.6831,69.2041,106.242,78.7068,112.6081,218.2849,72.4634,33709000000,102.061154486087,115.456212157364,25.39,0.7296213145403296,100.9578,84.0949,75.3211,90.7158,93.7703,100.8156,99.6827,69.2155,106.114,78.7068,112.7759,218.2849,72.3185,31442000000,102.037095501985,115.139909412199,23.71,0.8400824097755111,0.5703881611191175,0.5978441210515051,0.6562943583177994,0.7292805877856967,0.732622782874115,0.9113829967154264,0.8984519854920325,0.7824495954038113,1.5183674570661498,0.0517718441604309,0.17609999999999104,0.006799999999998363,0.1132999999999953,0.42449999999999477,-0.15620000000001255,0,3.9999999999906777e-4,-0.011400000000008959,0.1280000000000001,0,-0.16779999999999973,0,0.1448999999999927,2267000000,0.02405898410201246,0.3163027451650038,1.6799999999999997,-0.11046109523518144,0.2696942486563936,-0.027455959932387586,-0.05845023726629428,-0.07298622946789735,-0.003342195088418265,-0.17876021384131147,0.012931011223393907,0.11600239008822122,-0.7359178616623385,0.8301089462621869,0.845366295911365,0.5228147897980095,0.4816730101857125,0.3863450283698055
1997-01-31,0.8301089462621869,101.7143,84.2318,75.6889,92.2715,93.9704,101.1916,99.6831,69.2041,106.242,78.7068,112.6081,218.2849,72.4634,33159000000,101.94938680045,116.226065711844,25.17,0.7813931587007605,101.1339,84.1017,75.4344,91.1403,93.6141,100.8156,99.6831,69.2041,106.242,78.7068,112.6081,218.2849,72.4634,33709000000,102.061154486087,115.456212157364,25.39,0.7296213145403296,0.8400824097755111,0.5703881611191175,0.5978441210515051,0.6562943583177994,0.7292805877856967,0.732622782874115,0.9113829967154264,0.8984519854920325,0.7824495954038113,0.04871578756142636,0.5803999999999974,0.13010000000001298,0.2545000000000073,1.1312000000000069,0.3563000000000045,0.37599999999999056,0,0,0,0,0,0,0,-550000000,-0.11176768563700534,0.7698535544799938,-0.21999999999999886,0.0517718441604309,-0.11046109523518144,0.2696942486563936,-0.027455959932387586,-0.05845023726629428,-0.07298622946789735,-0.003342195088418265,-0.17876021384131147,0.012931011223393907,0.11600239008822122,0.845366295911365,0.5228147897980095,0.5221983934901697,0.5129850019908844,0.01537599806700207
1997-02-28,0.845366295911365,101.7568,84.4639,75.7119,92.4509,94.277,101.1916,99.7101,69.2041,106.242,78.8681,113.4821,218.2849,72.4634,32347000000,102.148051070016,117.338529589908,22.21,0.8301089462621869,101.7143,84.2318,75.6889,92.2715,93.9704,101.1916,99.6831,69.2041,106.242,78.7068,112.6081,218.2849,72.4634,33159000000,101.94938680045,116.226065711844,25.17,0.7813931587007605,0.7296213145403296,0.8400824097755111,0.5703881611191175,0.5978441210515051,0.6562943583177994,0.7292805877856967,0.732622782874115,0.9113829967154264,0.8984519854920325,0.015257349649178131,0.04250000000000398,0.23209999999998843,0.022999999999996135,0.17940000000000111,0.3066000000000031,0,0.027000000000001023,0,0,0.1612999999999971,0.8740000000000094,0,0,-812000000,0.19866426956599526,1.1124638780640055,-2.960000000000001,0.04871578756142636,0.0517718441604309,-0.11046109523518144,0.2696942486563936,-0.027455959932387586,-0.05845023726629428,-0.07298622946789735,-0.003342195088418265,-0.17876021384131147,0.012931011223393907,0.5228147897980095,0.5221983934901697,0.5766785484654369,0.4745945206507063,-0.03705709643396782
1997-03-31,0.5228147897980095,101.3976,84.4746,75.3177,92.2008,94.0421,101.1916,99.7108,70.6329,106.0563,78.8681,113.7223,218.2849,72.5466,32878000000,101.927865683869,117.696231082506,20.99,0.845366295911365,101.7568,84.4639,75.7119,92.4509,94.277,101.1916,99.7101,69.2041,106.242,78.8681,113.4821,218.2849,72.4634,32347000000,102.148051070016,117.338529589908,22.21,0.8301089462621869,0.7813931587007605,0.7296213145403296,0.8400824097755111,0.5703881611191175,0.5978441210515051,0.6562943583177994,0.7292805877856967,0.732622782874115,0.9113829967154264,-0.3225515061133555,-0.3592000000000013,0.010699999999999932,-0.3941999999999979,-0.2501000000000033,-0.2348999999999961,0,7.000000000090267e-4,1.4288000000000096,-0.1857000000000113,0,0.24020000000000152,0,0.08320000000000505,531000000,-0.22018538614699423,0.35770149259799666,-1.2200000000000024,0.015257349649178131,0.04871578756142636,0.0517718441604309,-0.11046109523518144,0.2696942486563936,-0.027455959932387586,-0.05845023726629428,-0.07298622946789735,-0.003342195088418265,-0.17876021384131147,0.5221983934901697,0.5766785484654369,0.4816730101857125,0.4141188507871263,0.03304808771247281
1997-04-30,0.5221983934901697,101.4969,84.5549,75.33,92.4651,94.2018,101.5472,99.7108,70.6329,106.0563,78.8681,113.7223,218.2849,72.5466,32494000000,102.107648219077,118.820829076196,19.72,0.5228147897980095,101.3976,84.4746,75.3177,92.2008,94.0421,101.1916,99.7108,70.6329,106.0563,78.8681,113.7223,218.2849,72.5466,32878000000,101.927865683869,117.696231082506,20.99,0.845366295911365,0.8301089462621869,0.7813931587007605,0.7296213145403296,0.8400824097755111,0.5703881611191175,0.5978441210515051,0.6562943583177994,0.7292805877856967,0.732622782874115,-6.163963078398282e-4,0.0992999999999995,0.08030000000000825,0.012299999999996203,0.26430000000000575,0.15970000000000084,0.3556000000000097,0,0,0,0,0,0,0,-384000000,0.17978253520800536,1.1245979936900028,-1.2699999999999996,-0.3225515061133555,0.015257349649178131,0.04871578756142636,0.0517718441604309,-0.11046109523518144,0.2696942486563936,-0.027455959932387586,-0.05845023726629428,-0.07298622946789735,-0.003342195088418265,0.5766785484654369,0.4816730101857125,0.5129850019908844,0.26176973070082266,-0.02259587065948087
1997-05-31,0.5766785484654369,101.5324,84.0735,75.1851,92.6507,93.6886,101.5472,100.0374,70.6329,106.0563,78.8923,110.9176,218.2849,72.5466,32654000000,102.236571889158,119.723953967856,20.83,0.5221983934901697,101.4969,84.5549,75.33,92.4651,94.2018,101.5472,99.7108,70.6329,106.0563,78.8681,113.7223,218.2849,72.5466,32494000000,102.107648219077,118.820829076196,19.72,0.5228147897980095,0.845366295911365,0.8301089462621869,0.7813931587007605,0.7296213145403296,0.8400824097755111,0.5703881611191175,0.5978441210515051,0.6562943583177994,0.7292805877856967,0.05448015497526715,0.03549999999999898,-0.4814000000000078,-0.1448999999999927,0.18559999999999377,-0.5132000000000119,0,0.3265999999999991,0,0,0.02420000000000755,-2.804700000000011,0,0,160000000,0.1289236700809937,0.9031248916599992,1.1099999999999994,-6.163963078398282e-4,-0.3225515061133555,0.015257349649178131,0.04871578756142636,0.0517718441604309,-0.11046109523518144,0.2696942486563936,-0.027455959932387586,-0.05845023726629428,-0.07298622946789735,0.4816730101857125,0.5129850019908844,0.4745945206507063,0.4168683920018568,0.08241328999574193
1997-06-30,0.4816730101857125,101.7724,84.0721,75.1287,93.2946,93.9438,101.5472,100.036,70.7253,106.2824,78.8923,110.7556,218.2849,72.5509,32701000000,102.326412399412,119.576203265811,19.17,0.5766785484654369,101.5324,84.0735,75.1851,92.6507,93.6886,101.5472,100.0374,70.6329,106.0563,78.8923,110.9176,218.2849,72.5466,32654000000,102.236571889158,119.723953967856,20.83,0.5221983934901697,0.5228147897980095,0.845366295911365,0.8301089462621869,0.7813931587007605,0.7296213145403296,0.8400824097755111,0.5703881611191175,0.5978441210515051,0.6562943583177994,-0.09500553827972436,0.2400000000000091,-0.0013999999999896318,-0.056400000000010664,0.6439000000000021,0.2552000000000021,0,-0.0014000000000038426,0.09239999999999782,0.2261000000000024,0,-0.16199999999999193,0,0.004300000000000637,47000000,0.08984051025400674,-0.14775070204500196,-1.6599999999999966,0.05448015497526715,-6.163963078398282e-4,-0.3225515061133555,0.015257349649178131,0.04871578756142636,0.0517718441604309,-0.11046109523518144,0.2696942486563936,-0.027455959932387586,-0.05845023726629428,0.5129850019908844,0.4745945206507063,0.4141188507871263,0.3863450283698055,0.10090717529160909
1997-07-31,0.5129850019908844,101.5157,84.0715,75.1118,92.766,93.7702,101.4839,100.036,70.7253,106.2824,78.8923,110.7556,218.2849,72.5509,32580000000,102.041663663523,119.392356118959,19.63,0.4816730101857125,101.7724,84.0721,75.1287,93.2946,93.9438,101.5472,100.036,70.7253,106.2824,78.8923,110.7556,218.2849,72.5509,32701000000,102.326412399412,119.576203265811,19.17,0.5766785484654369,0.5221983934901697,0.5228147897980095,0.845366295911365,0.8301089462621869,0.7813931587007605,0.7296213145403296,0.8400824097755111,0.5703881611191175,0.5978441210515051,0.03131199180517186,-0.25670000000000925,-6.000000000057071e-4,-0.016899999999992588,-0.5285999999999973,-0.17359999999999332,-0.06329999999999814,0,0,0,0,0,0,0,-121000000,-0.2847487358890106,-0.18384714685200265,0.4599999999999973,-0.09500553827972436,0.05448015497526715,-6.163963078398282e-4,-0.3225515061133555,0.015257349649178131,0.04871578756142636,0.0517718441604309,-0.11046109523518144,0.2696942486563936,-0.027455959932387586,0.4745945206507063,0.4141188507871263,0.26176973070082266,0.01537599806700207,0.07515752268481002
1997-08-31,0.4745945206507063,101.6844,84.2908,75.3656,92.4449,94.438,101.4839,100.0363,70.7253,106.2824,78.7562,113.7283,197.768,72.5509,32220000000,102.135057188307,120.342997799544,19.93,0.5129850019908844,101.5157,84.0715,75.1118,92.766,93.7702,101.4839,100.036,70.7253,106.2824,78.8923,110.7556,218.2849,72.5509,32580000000,102.041663663523,119.392356118959,19.63,0.4816730101857125,0.5766785484654369,0.5221983934901697,0.5228147897980095,0.845366295911365,0.8301089462621869,0.7813931587007605,0.7296213145403296,0.8400824097755111,0.5703881611191175,-0.038390481340178084,0.16870000000000118,0.21930000000000405,0.25379999999999825,-0.3211000000000013,0.6677999999999997,0,2.999999999957481e-4,0,0,-0.136099999999999,2.9727000000000032,-20.516899999999993,0,-360000000,0.09339352478400542,0.9506416805849938,0.3000000000000007,0.03131199180517186,-0.09500553827972436,0.05448015497526715,-6.163963078398282e-4,-0.3225515061133555,0.015257349649178131,0.04871578756142636,0.0517718441604309,-0.11046109523518144,0.2696942486563936,0.4141188507871263,0.26176973070082266,0.4168683920018568,-0.03705709643396782,0.1395537792612922
1997-09-30,0.4141188507871263,101.6282,84.323,75.2328,92.6908,94.5138,101.4839,99.9759,70.7661,106.2843,78.7562,113.7,197.768,73.9285,32276000000,102.076381691215,120.152930643842,19.79,0.4745945206507063,101.6844,84.2908,75.3656,92.4449,94.438,101.4839,100.0363,70.7253,106.2824,78.7562,113.7283,197.768,72.5509,32220000000,102.135057188307,120.342997799544,19.93,0.5129850019908844,0.4816730101857125,0.5766785484654369,0.5221983934901697,0.5228147897980095,0.845366295911365,0.8301089462621869,0.7813931587007605,0.7296213145403296,0.8400824097755111,-0.060475669863579995,-0.056199999999989814,0.032199999999988904,-0.13280000000000314,0.2458999999999918,0.07580000000000098,0,-0.06040000000000134,0.04079999999999018,0.00190000000000623,0,-0.028300000000001546,0,1.377600000000001,56000000,-0.05867549709199693,-0.19006715570199617,-0.14000000000000057,-0.038390481340178084,0.03131199180517186,-0.09500553827972436,0.05448015497526715,-6.163963078398282e-4,-0.3225515061133555,0.015257349649178131,0.04871578756142636,0.0517718441604309,-0.11046109523518144,0.26176973070082266,0.4168683920018568,0.3863450283698055,0.03304808771247281,0.06170792606468023
